"function_name_fk","api_name_fk","api_context","api_topic","function_context","function_topic","llm_expert_api","sim_expert_api","llm_expert_function","sim_expert_function"
"isPresentAnd","java.util.Optional","A container object which may or may not contain a non-null value","Data Wrapping","Checks if value is present and matches a given predicate","Utility","Data Handling","Data Structure","Conditional Checking","Data Handling"
"isSimilar","org.json.JSONObject","Provides a map of key/value pairs","JSON Manipulation","Checks if two JSONObjects are similar","Data Comparison","JSON","Data Structure","Data Comparison","Data Structure"
"length","java.lang.String","Represents a sequence of characters","Text Manipulation","Returns the length of a string","Text Processing","Core","Text Manipulation","Data Structure","Text Processing"
"main","java.lang.Class","Entry point for Java applications","Application Execution","The main method which serves as the entry point for Java programs","Utility","Application Lifecycle","Data Structure","Application Execution","Application Lifecycle"
"nextInt","java.util.Random","An instance of this class is used to generate a stream of pseudorandom numbers","Random Number Generation","Returns the next pseudorandom","uniformly distributed int value","Randomness","Utility","Random Number Generation","Data Structure"
"ofNullable","java.util.Optional","A container object which may or may not contain a non-null value","Data Wrapping","Returns an Optional describing the specified value","if non-null","otherwise returns an empty Optional","Utility","Data Handling","Data Structure"
"optInt","org.json.JSONObject","Provides a map of key/value pairs","JSON Manipulation","Retrieves an optional int value from the JSON object","Data Retrieval","JSON","Data Structure","JSON","Data Retrieval"
"optJSONArray","org.json.JSONObject","Provides a map of key/value pairs","JSON Manipulation","Retrieves an optional JSONArray from the JSON object","Data Retrieval","JSON","Data Structure","JSON","Data Structure"
"optJSONObject","org.json.JSONObject","Represents a JSON object","JSON Processing","Retrieves a JSONObject optionally","JSON Processing","Data Handling","JSON Processing","Data Access","JSON Processing"
"optString","org.json.JSONObject","Represents a JSON object","Data Interchange","Returns the value mapped by a key","returning a default value if not present","JSON Processing","Data Interchange","JSON","Data Structure"
"parse","java.text.SimpleDateFormat","Formats and parses dates in a locale-sensitive manner","Date and Time","Parses text from the beginning of the given string to produce a date","Utility","Date Handling","Data Structure","Date Parsing","Data Handling"
"range","java.util.stream.IntStream","Represents a sequence of primitive int-valued elements","Streams","Creates a sequential ordered stream","Streams","Functional Programming","Streams","Data Structure","Streams"
"savePartOfDatabase","org.jabref.gui.exporter.SaveDatabaseAction","Handles database export actions","Database Management","Saves a part of the database","Database Management","Data Storage","Database Management","Data Management","Database Management"
"setCiteKey","org.jabref.model.entry.BibEntry","Represents a bibliographic entry","Bibliography Management","Sets the citation key for an entry","Bibliography Management","Academic","Bibliography Management","Data Management","Bibliography Management"
"setField","org.jabref.model.entry.BibEntry","Represents a bibliographic entry","Bibliography Management","Sets the value of a field for an entry","Bibliography Management","Academic","Bibliography Management","Data Management","Bibliography Management"
"setType","javax.swing.text.AttributeSet","Defines a set of attributes","Text Attributes","Sets the type of an attribute","Text Attributes","User Interface","Text Attributes","Data Structure","Text Attributes"
"singletonList","java.util.Collections","Consists exclusively of static methods that operate on or return collections","Collection Utilities","Returns an immutable list containing only the specified object","Utility","Data Handling","Data Structure","Data Wrapping","Data Structure"
"toJsonObject","org.json.XML","Provides methods to convert XML to JSON","XML/JSON Processing","Converts a given XML string to a JSONObject","XML/JSON Processing","Data Conversion","XML/JSON Processing","Data Structure","XML/JSON Processing"
"toList","java.util.stream.Stream","Represents a sequence of elements supporting sequential and parallel aggregate operations","Stream Processing","Collects the elements of this stream into a List","Collections","Core","Stream Processing","Data Structure","Collections"
"toString","java.lang.Object","The root class of the Java class hierarchy","Core","Returns a string representation of the object","Text Processing","Core","Object","Data Structure","Text Processing"
